Label,data,,,
education,"Whi le the initial use  case  for VR was  the  entertainment industry,  it also has relevance in education and training, and will have a big role in providing quality education and improving  understanding - based learning among students.  By t ailoring these services  to education ,  ( e.g . by , having  virtual t our s of the human body with the possibility of interacting with model s and moving  the  different  layers of  the  body ) ,  the  learning process can be  more fun and  much more interesting. This also  can bring  new experience s for distance learning ,  enabling the vir tual  presence of students (e.g.,  located  in suburban  area ) in the classroom . This type of service need s very high bandwidth (bi - directional) and very low latency (i.e., 2 - 4ms). ",,,
education,"Similar to  the  VR,  AR  has  already  started  to  show  its  relevance  and  usefulness in education. Providing  the  necessary information can make contextualised learning ubiquitous  and pervasive.  AR can be an efficient way of providing  the  right amount of information at  the right time to  the right  audience .  Also, immersive AR can enable new way s of learning and team working in education  through services such as mobile cloud classroom and Virtual Presence .  Enhancing  the  learning experien ce  is not the only possible use  case for AR. It can also help teachers to get necessary information about each  student and be aware of their  particular need s and capabilities. The requirements for implementing such  services ,  including optimised routing, seamless wide - area coverage, virtual p resence, low delay speech &  video coding,  need to be considered .",,,
education,"By  combining  Tactile  Internet  and  VR ,  the  future  experience  in  teaching  and  learning could  go  far  beyond  today �s exp erience . This  can  remove  the  physical  location  constraint  for  experimental  practices , and  facilitate and  enable the  shar ing of  resources between  larger numbers of  students irrespective  of  their  current  location .  The  impact  would  be  more  significant  in  hands - on - experience with expensive equipment and fa cilities.",,,
education,"Individual access to a mobile device holds the promise to connect each learner into  intelligent  personalised  systems  that  can  suggest  learning  pathways,  enable  aggregated  analysis  and  through better data capture of learner  experiences enable much better decision making about all aspects  of a students� education.  Categorising students in different groups and suggesting different multi - media  contents can increase the load on the network. However, i n - network caching technologie s such as  Content  Centric  Networks  (CCN)  and  Inform ation  Centric  Networks  (ICN)  can  be  used  to  improve  efficiency  by  reducing the service response time and bandwidth consumption. ",,,
education,Today�s cloud - based  storage  services have  made  it possible  to access  files irrespective of device of use .  D ue to the centralised architecture of  cloud providers there is  a  notable delay  in access  to  the  content  even  with  a  relatively  fast  internet  connection.  Future  mobile  technology  will  4 enable single d evice content access anywhere by using distributed cloud and mobile edge computing. All  the  user needs is a device to access any of his personal content and stored file s .  Using this feature students  can  resume  their  work  at  a convenient  time  and  place  thro ugh  different  device s with  an  impression  of  immediate response time ,,,
education,"Advances in mobile technology and robotics can open new opportunities  to assist students  with  especial  needs ,  making learning easier  for  them .  Cloud - based  ro bots  can  be  considered as  a  full - time  assistan t for  disabled  students,  helping  them  to  interact  with  the  education  environment and  their  peers . Rather than having  to call a teacher over for help ( which can cost both the  student  and  the  teacher  time  they  c o uld  be  using  more  productively )  the  student s can  take  care  of  the  issue with the help of their robot. ",,,
education,"IoT applications are affecting all aspect of our life, from smart  building to smart healthcare. However, one of the fast growing area of these applications is in education  which can improve our today�s teaching, learning and campus operating experience. IoT applications c an  also help us change the role of teachers in the classroom, reducing the burden of administrative load on  them  and  allowing  them  to  concentrate  more  on  individuals.  B eing  automatically  logged  into  the  classroom  as  soon  as  entering  to  the  class ,  being  dis tracted  by  a  signal  as  soon  as  losing  concentration  during lecture, real - time feedback to a lecturer about areas that students still have problem based on  the  real - time  analyses  of their  notes,  all  are  just  few  examples  of  how  IoT  and  connected  classroom  c an  enhance learning and teaching experience.",,,
agriculture,"In addition to sourcing environmental data, weather stations can automatically adjust the conditions to match the given parameters. Specifically, greenhouse automation systems use a similar principle.  For instance, Farmapp and Growlink are also IoT agriculture products offering such capabilities among others.  GreenIQ is also an interesting product that uses smart agriculture sensors. It is a smart sprinklers controller that allows you to manage your irrigation and lighting systems remotely",,,
agriculture,"Probably the most popular smart agriculture gadgets are weather stations, combining various smart farming sensors. Located across the field, they collect various data from the environment and send it to the cloud. The provided measurements can be used to map the climate conditions, choose the appropriate crops, and take the required measures to improve their capacity (i.e. precision farming).",,,
agriculture," One more type of IoT product in agriculture and another element of precision farming are crop management devices. Just like weather stations, they should be placed in the field to collect data specific to crop farming; from temperature and precipitation to leaf water potential and overall crop health.",,,
agriculture,"Just like crop monitoring, there are IoT agriculture sensors that can be attached to the animals on a farm to monitor their health and log performance. This works similarly to IoT devices for petcare.",,,
healthcare,"GSK�s Bioelectronics unit is developing miniaturised,  implantable connected devices to treat chronic diseases  such as diabetes or arthritis. As these will rely on mobile  networks to communicate back with the physicians for  monitoring purposes and to adjust the treatment, having  a secure, reliable and dedicated �network slice� would be a  major advantage.",,,
healthcare,"The Technology Integrated Health Management project  is developing patient and home monitoring solutions  for patients with dementia, which could benefit from the  increased bandwidth, reliability, security and device-to- device connectivity that can be supported by 5G networks  in the future.",,,
automative,"Vodafone is trialling vehicle-to-vehicle communication  as well as geo-messaging solutions for cars along the A9  highway in Germany, between Munich and Ingolstadt, using  an advanced version of long term evolution (LTE), as part of  a testbed with other partners for future 5G services.",,,
automative,"Scania is a frontrunner in connected vehicles, having over  200,000 connected vehicles on the road today. Scania has been  trialling platooning for several years and has now started a 5G trial  to look at the benefits of next generation mobile networks for  autonomous driving and platooning",,,
automative,"Connected and autonomous vehicle technologies are one  of Jaguar Land Rover�s key priorities, and it is in a suite of  research projects including trialling vehicle-to-vehicle  and vehicle-to-infrastructure applications based on C-V2X connectivity, which is essentially a precursor of  5G technologies.",,,
automative,"Roborace is currently developing autonomous electric  cars that will be used in car racing championships  around the world. The solution could benefit from 5G as  it would enhance safe operations, create a more dynamic  environment and enable new applications within the  Roborace experience, such as video broadcasting.",,,
automative,Audi would benefit from the introduction of 5G networks to  improve pre-production and production processes as well  as post-production maintenance of fleet and vehicles.,,,
agriculture,"CHAP is developing a SMART Decision Support Unit that  helps inform farmers about the risks from pathogens,  pests and weeds in order to reduce the use of pesticides.  This solution could benefit from next generation mobile  networks as more data could be included in the analysis,  and agricultural machinery could be connected to  autonomously take action",,,
agriculture,"Vodafone is already able to provide drone connectivity  using 4G network capability. Vodafone is also working with  partners on the use of �drones as a service� for future  applications, e.g. automatic drones for precision farming or  protecting critical infrastructure. Controlling the drones over  a 5G network would yield a number of important benefits.",,,
manufacturing,5GEM is a collaborative research project which aims  to create a pilot production system for world- class  industrial manufacturing based on wireless and mobile  5G communication.,,,
healthcare,"S based Gecko Health Innovations, acquired by Teva pharmaceuticals in September  2015, has developed their CareTRx� platform for tracking and managing chronic  respiratory diseases.  A sensor device connects to the patient�s inhaler which tracks use  and gives patients reminders of doses.  Sensor information is collated by the CareTRx�  Journal App which tracks and records medications, symptoms, triggers, peak flow  measurements and flare  ups.  The patient can then view statistics and get feedback on  their use of their inhaler and share with medical teams.",,,
healthcare,TIHM (Technology Integrated Health Management) for dementia is a new research study  funded by NHS England and Innovate UK with the key aims of improving the quality of  life for dementia patients and their carers. The study also aims to reduce hospital  admissions and in - patient volumes related to dementia by providing remote care an d  monitoring of patients in their own homes.  ,,,
healthcare,Blackburn with Darwen council first introduced telecare in 2008 but in 2010 examined  telecare delivery models in other areas and set the objective of increasing telecare users  from 60 to 1800.   This programme eventually became branded the �Safe and Well�  programme and has included a contract with Tunstall Healthcare for telecare equipment  and services as well as a number of pilot schemes of new assisted living technologies  such as:,,,
healthcare,The Royal Marsden NHS Foundation Trust has two hospital sites.  These are at Chelsea in  London and Sutton in Surrey.  They also have a Medi cal Daycare Unit at Kingston Hospital  and provide community services in the London Borough of Sutton.  ,,,
automative,"aguar  Land Rover (JLR) is developing a wide range of connected car services for the near  to medium term, and is one of the leading firms carrying out development and trials in  the UK. Its emerging services will be launched to UK users at an early stage of  commercialisatio n. They are highly indicative of the type of services which will evolve in  future, and the type of network which will be required to support them. ",,,
automative,"Jaguar Land Rover has demonstrated various enablers of future autonomous vehicle and  is a leader in all - terrain driving, which enables non - consumer applications for industrial  or milita ry use as per the picture below . This te chnology is being developed to help  drivers as well as autonomous vehicles. ",,,
automative,"The rail operator manages rail infrastructure (track, stations, tunnels and signalling) on a  line where tr ains reach speeds of up to 300 kilometres  per hour (186 mph) . In terms of  wireless connectivity, they see two main advantages and priorities: ",,,
automative,"According to DfT ; the in - train Wi - Fi programme will cover data (broadband) and voice  (over  Wi - Fi).  DfT is assuming passengers have (or will have) devices that support Wi - Fi  calling. MNO in - carriage coverage, as op posed to Wi - Fi coverage, is not a requirement as  it does not give universal internet access to all subscribers and passengers, given that not  all operators will have continuous coverage everywhere. ",,,
manufacturing,"Thames Water (TW) following signing a contract with Arqiva in March 2015 are deploying  smart water meters to the 3.3m properties  � this is the first UK deployment of smart  water meters and the meters connect by wireless. TW has already found that metered  customers use 11% less water than unmetered customers and smart meters were seen  as the next step in demand and network management bringing benefits of real time  analytics to pinpoint leaks for instance. TW has  more than 20,000 miles of water mains  and the smart meter platform will highlight continual usage which often indicates a leak.   TW research concluded that if nothing was done by 2020 there would be a shortfall of  133m litres of water per day as can be see n in..",,,
automative,Isotrak is a UK company supplying fleet mana gement solutions globally.  In the UK Isotrak  partners with Vodafone to provide fleet management services across 99% of the UK. The  system can provide fleet managers with the ability to access real time intelligence on  vehicle locations and route analysis  and vehicle progress.  Geo - fe nces can be set up  allowing delivery recipients to be kept informed when a delivery is close. Perishable  goods can be monitored for temperature as well as rear door openings.,,,
manufacturing, operator has remote mobile control over fixed manufacturing equipment: production line robotics on the factory floor Typical applications include welding  painting and assembly ,,,
manufacturing, operator has remote mobile control over mobile manufacturing equipment:untethered robots. Typical applications include drilling or forklifts ,,,
manufacturing, transmission of diagnostics information so service technicians arrive prepared for successful repairs and updates when needed,,,
manufacturing, closed loop communications between machines to optimise manufacturing process,,,
manufacturing,for monitoring of assets distributed in larger areas and efficient coordination across the value chain,,,
manufacturing, use of augmented reality to aid in the execution of procedural tasks in the design maintenance and repair domain (through simulations),,,
manufacturing,create a pilot production system for world- class industrial manufacturing based on wireless and mobile 5G communication,,,
manufacturing,improve manufacturing system performance and increase product quality and add manufacturing flexibility,,,
manufacturing,Automation and control of robots and factories and smart logistics systems,,,
manufacturing,use 5G networks and technology to facilitate simultaneous product customization and maximum production output � without sacrificing flexibility traceability sustainability or safety. We did this by creating a network of connected machines that allow manufacturers to collect analyze and distribute data in real time. Enhancing connectivity and keeping workers continuously in the loop will enable manufacturers to acquire and access much larger amounts of data � at far greater speeds � more efficiently than ever before,,,
manufacturing,use Augmented Reality for troubleshooting to help mitigate the cost of breakdowns � extra components material labor and buffers � and reduce production downtime. We use AR to detect operational inefficiencies such as imperfect maintenance planning failure diagnostics but also for training. To date we have achieved time savings of up to 50 percent,,,
manufacturing,The high-precision tools were fitted with real-time motion sensors that were attached to NB-IoT modules. The data runs via a cellular IoT network over the company�s private cloud and back-end systems which make automatic calculations and intelligent analyses of the collected data. With connected screwdrivers the factory will be able to replace manual tracking of tool usage data with an automated solution � cutting the amount of manual work by 50 percent. And since the cost per device is so low the factory now plans to completely phase out manual tracking,,,
manufacturing,smart factories will be filled with sensors each monitoring different aspects of the working environment. They will likely include connected tools using information ranging from location to accelerometer data to understand where and how they are being used to guide workers accordingly,,,
manufacturing,5G will enable manufacturers to drive more functionality closer to the edge of the network. Because this network technology�s reliability is so high and its latency so low equipment can communicate wirelessly with back-end systems for time-critical operations in ways that were not possible before. this will combine fast production-line operations with the power of networked intelligence. We can expect new capabilities such as advanced visual recognition using the power of deep learning neural networks in the cloud. This will allow robotic systems to visually inspect products for quality control purposes in real time with a high degree of accuracy,,,
manufacturing,Smart manufacturing based on cyber-physical manufacturing systems (CPMS) has become the development trend and been widely recognized all over the world. Throughout the development trend of CPMS one of the key issues is industrial Internet-of-Things (IIoT) with the characteristics of automation smart connected real-time monitoring and collaborative control. Along with the permeation and applications of advanced technologies in manufacturing massive amounts of data have been generated in the manufacturing process,,,
manufacturing,manufacturers could eventually operate what�s called a �lights-out� facility wherein factory automation solutions�think smart connected robots�could supplant the need for manual labor. While that concept is still some way off manufacturers are eager to use 5G and the internet of things to digitally transform their operations,,,
manufacturing, Collect diagnostic data for fault prediction and assessment guide maintenance operations � Life-cycle engineering: Collect diagnostic data to study how the operations can be improved design and deploy updates,,,
manufacturing, private 5G network inside factory site � Remote: network slice for data transmission between different production sites and other parties,,,
manufacturing,Those who don�t pay attention to the capabilities and enablements that 5G brings will fail to plan how their systems are upgraded and turbocharged to leverage the power of the new-age network.According to Ericsson�s report on the 5G business potential critical control of production line robotics includes tethered or untethered robots that are controlled monitored and can be reconfigured remotely.This technology could be used in factory floor production reconfiguration and layout changes real-time analysis and even to steer a robot�s movement from a remote location,,,
manufacturing,5G plays a major role in connecting production line robotics by providing high-performance mobile services such as: Connectivity for robotics removing the need for fiber tethering Quick reactions to discrepancies helping to avoid damaging expensive components Live remote monitoring of video streams from robotics Low latency-enabled remote control applications,,,
manufacturing,With its ultra-low latency high data rates and capability to run a multitude of devices simultaneously in a cell 5G technology is particularly suitable for deployment in networked adaptive production facilities with extensive measuring and control engineering the pair say. The reason for this is that running precision machine tools in complex production processes demands extremely high standards of communications that must be both stable and reliable. 5G technology will permit the extensive use of wireless sensor connections for real-time data analysis ensuring that the adaptive control of production processes can be undertaken through short reaction times,,,
entertainment,online augmented reality (AR)/ VR gaming or experiences. Also includes tactile internet experiences ( recreating sense of touch bionic suits). With accuracy for voice recognition technology and openended dialogue with computers being developed this could evolve towards voice interaction with virtual characters,,,
entertainment, providing additional features to spectators like replay view from different angle and translation,,,
entertainment, users or machines recording self-created imagery which is uploaded to social media or online channels,,,
entertainment, content worked upon by different users in multiple locations simultaneously,,,
entertainment,creation of content by sourcing content from different locations in real time,,,
entertainment,The production allowed classical music lovers to experience the orchestra performance in a VR world. The project delivered a 360� 3D video and audio experience transporting the user into the centre of the orchestra where they could change position to listen to the music from a different angle,,,
entertainment,the real physical world is combined with a computer generated virtual world enabling the user to take decisions and interact,,,
entertainment,To produce the video stream special VR cameras were installed to record 360� 3D imagery of the orchestra. The recorded video stream which could be up to several hundred gigabytes in size was then moved to the production studio where it was edited and adapted making it ready for use in a VR experience,,,
entertainment, has developed a usercentric �Digital Twin� prototype enabling spectators of major sports events to follow a digital replica of the event on a mobile device giving them a better experience,,,
entertainment,Spectators of large sports events often experience limited visibility on what is happening throughout the event. Viewers at home are bound by what broadcasting companies choose to show whereas spectators that attend the event have limited or occasional visibility,,,
entertainment,On-site live experience at major sports events will increasingly require a reliable and high-bandwidth connection as more functionalities are added to give the audience a better experience,,,
entertainment,sports will be addressed such as skiing events air races or cycling events.completely different business segments like aviation are thinkable. Using the Digital Twin combined with augmented reality could be a great tool for flight controllers,,,
entertainment, allows users to teleport into a world of wonders to play new takes on traditional carnival games through VR,,,
entertainment,Euro Media Group has to send vast amounts of data from event sites to its production studio in real time over fibre networks or rely on mobile production units. 5G networks could replace the use of such units and could enable direct transmission from the cameras to the studio,,,
entertainment,For a large football match for instance several cameras placed around the stadium each transmit a live video stream to the central studio where they will be compiled into one final stream that will be used for broadcasting to the general public,,,
entertainment,production of live TV can happen in the studio using a larger number of video streams and tools compared to on-site mobile production,,,
entertainment,The UK will be able to livestream large downloads in the blink of an eye. This will ultimately drive and accelerate content consumption including mobile media mobile advertising home broadband and TV improving experiences across a broad range of new immersive and interactive technology such as augmented reality (AR) and virtual reality (VR),,,
entertainment,Expanded AR and VR experiences will have the ability to enable a whole new channel for content creators reaching a brand-new audience due to there being less of a �trade-off� between quality and speed when it comes to streaming,,,
entertainment,Ericsson has defined several entertainment-related use cases for 5G in-home usage such as immersive gaming and immersive virtual reality (as part of Human-IoT Interaction) and ultimate video quality mobile for in-home TV on-demand anything meeting consumer demands for TV (as part of Media Everywhere),,,
entertainment,Sensors to identify the precise location of the user (position presence motion proximity sensor pressuresensor intelligent camera sensor) to enable switching devices on and off for virtual reality gaming,,,
entertainment, Rapid progress in display and capture technologies is enabling a new highly immersive viewing experience with ultra-crisp wide-view pictures with deep contrast and unparalleled multi-channel sound. Both linear (live programming and streaming) and non-linear content will be used for providing this Ultra High Fidelity Media experience. Large homecentric displays ( UHD TV screens) and portable devices (smartphones tablets Virtual Reality devices) will allow the full quality experience,,,
entertainment, Large scale event site  such as cinemas stadiums and hall parks are more and more being connected in order to give better experience to their customers (replay  choose a specific camera  language augmented reality to bring additional information),,,
entertainment, People and objects are and will capture more and more content in order to share it with others in the cloud. That means that the future 5G network should be able to support on demand high upload bandwidth and streaming from various devices / objects (camera health and wellness measurements building sensors�) in order to bring a good user experience in such a situation,,,
entertainment, Media will become immersive and highly interactive to provide ambient media consumption at home but also on the move with content capable of following the users and adapt to his ambient for viewing New 5G capabilities will enable immersive video experience to retransmit holographic type video beyond telepresence (2D) closer to a virtual presence experience in 3D. In the business environment for instance people are more and more working in a collaborative way even in the same company in order to be more efficient and to accelerate the innovation to the market - immersive video conferencing will simulate the face to face experience that present videoconferencing systems do not allow,,,
entertainment, This covers the many facets of media production.Content will be captured and shared immediately utilising 5G enabled cameras and microphone from anywhere to anywhere with additional metadata automatically preattached. The content will be worked upon by different users in multiple locations simultaneously and the content should be able to be automatically repurposed for different requirements i.e. second screens interactive games. The immediacy of access to content should drastically reduce media production timescales,,,
entartainment, This covers the many facets of media production.Content will be captured and shared immediately utilising 5G enabled cameras and microphone from anywhere to anywhere with additional metadata automatically preatt,,,
entertainment, Gaming will expand into a full immersive multi-sensorial environment which will result in a more realistic experience improved ability for users to collaborate within the game and no limitation on the number of simultaneous users. Similar to other media areas gaming is likely to move from a primarily �home based� experience towards an �anywhere� experience with user collaboration being both simultaneously in the physical world and the augmented reality domain based on the users actual location. Game development may also become more cooperative with users directly interacting with the developers in real time,,,
entertainment, Download speeds are bound to increase at least tenfold compared to 4G and for true 5G standards it could be up to 100-fold. So if an HD movie takes six minutes to download in a 4G network with 5G it could take a handful of seconds. Also in the era of user-generated content photo and video upload speeds will improve fueling social media content,,,
entertainment,5G promises to enable close to zero latency between a streaming source and the viewer (from tens of milliseconds to less than three),,,
entertainment,The additional speed and capacity of 5G network technology could lead to the development of fresh content formats and genres. This could include cross-media,,,
entertainment,the arrival of 5G could mean a major step forward for public service media.new forms of broadcast content will be delivered to our 5G-compatible smartphones quickly and cheaply without the need to depend on Wi-Fi connectivity on performance or cost grounds.,,,
entertainment,This project suggests that 5G could be the answer to cloud-based gaming's latency problem.The low latency of 5G will be the key differentiator from 4G,,,
entertainment,5G aims to deliver more appropriate network speeds depending on the workload and requirements of the job. Many games especially on console and PC  demand tens or hundreds of GB of data Not only that but the constant adaptation of long-running games means equally large patches,,,
entertainment,Professional gaming requires a certain kind of technique. A computer a screen  a keyboard and a mouse must serve the gamer at the speed of thought and accuracy of a surgeon. The same applies to the gamer�s network connection. The 5G network passed the test with flying colors,,,
entertainment,A gamer�s network connection must be sufficiently fast but the most important thing is the delay � how quickly the system responds when a gamer presses a button or clicks on the mouse. If a connection is too slow or the delay is uneven it means that other gamers are one step ahead and a step in a shooter video game is the difference between life and death Today we played Overwatch over a 5G connection and I did not notice any difference between it and a fixed line connection. Its latency did not skip and it felt like a fixed connection,,,
entertainment,it is becoming more popular to stream gaming sessions to online channels focused on eSports. During the 5G test bit flow was sent alongside gaming to Twitch Tv. A solid flow of bits run smoothly to the service,,,
entertainment,Nvidia demonstrated GeForce Now�s capability with 5G during AT&T�s Spark Conference in San Francisco. According to The Register a fairly run-of-the-mill laptop was hooked up to a 5G base station and was able to achieve 60 frames-per-second framerate with only 16ms of lag. This could feasibly be reduced down to as little as 3ms in the future which Nvidia said could allow users to play virtual reality games without needing expensive extra hardware,,,
entertainment,all games could take the streaming-only approach in the future.Microsoft�s is reportedly developing a second streaming box to sell alongside its next traditional Xbox console,,,
automative, driverless vehicles enabled by V2I and V2V applications (includes e.g. collision avoidance application emergency braking intelligent traffic systems) ,,,
automative, �see through the front� vehicle in-dash junction cameras (for HGVs or buses) ,,,
automative, streaming HD/UHD movies to tablets/ headrests or online gaming in the car,,,
entertainment,streaming HD/UHD movies to tablets/ headrests or online gaming in the car,,,
automative, convoy of vehicles driving together connected to a central operator ,,,
automative, vehicles collecting data on traffic accidents and road condition. Some maintenance vehicles generate large amounts of telemetry and scan data,,,
automative, using real-time traffic information computed with data from other vehicles road authorities traffic management centres cameras and radars,,,
automative, manufacturer monitoring condition of car (and sending an alert if faulty) and machine learning maintenance requirements ,,,
automative, remote driver assistance to vehicles (e.g. taxi fleets) taking control in emergencies,,,
automative,Vodafone is trialling vehicle to vehicle communication as well as geo-messaging solutions for cars along the A9 highway in Germany,,,
automative,Messages include signals around automatic braking lane-tracking (i.e. warning that another car will change lanes) blind-spot warning or information from nearby traffic lights (e.g. that they will turn red),,,
automative,the vehicle is told the optimal speed to drive at in order to avoid traffic congestion and communication between roadside infrastructure (e.g. traffic lights) and cars leads to more efficient traffic flow,,,
automative,automatic emergency braking systems visibility aids and hazard warning systems should reduce fatalities,,,
automative, increased driver aids and autonomous driving support frees time for the driver and passengers,,,
automative,Scania is investing heavily in research and development of connected vehicles and was one of the first heavy vehicle manufacturers to explore platooning,,,
automative,Platooning is a driving formation where a group of trucks are driving autonomously in a convoy or �platoon� in very close proximity to each other following a lead truck at constant speed. Platooning is currently already enabled by radar and camerabased systems installed on the trucks permitting trucks to drive at a safe distance from each other,,,
automative,trialling several connected and autonomous vehicle technologies which will help improve traffic flow cut congestion and reduce the potential for accidents. Jaguar Land Rover is looking at both vehicle-to-vehicle communication enabling cars to send messages to each other and vehicle-toinfrastructure communication enabling vehicles to receive and send information to  traffic lights roadside signs or traffic control centres,,,
automative,The solution is based on a Global Navigation Satellite System advanced sensors detection systems and cameras gathering data on position and environment directly from the car. An artificial intelligence layer built into the cars is then able to interpret this data to control actions of the car and response within the environment,,,
automative,the wireless communication channel between the cars and the infrastructure is the bottleneck within the communication chain. As soon as there is more bandwidth lower latency and higher reliability and security the entire solution could be redesigned enabling more remote control and other functionalities,,,
automative,car manufacturers like Audi would also welcome 5G networks to support mission critical requirements on the production floor. Thousands of assembly and production line robots generate large amounts of data related to different parts of the car which is uploaded to a central server of the production system. This production system could select and match the most optimal parts (based on specific tolerances) and sends the information back to the production floor to complete the build,,,
manufacturing,car manufacturers like Audi would also welcome 5G networks to support mission critical requirements on the production floor. Thousands of assembly and production line robots generate large amounts of data related to different parts of the car which is uploaded to a central server of the production system. This production system could select and match the most optimal parts (based on specific tolerances) and sends the information back to the production floor to complete the build,,,
automative,5G networks support our fleet and vehicle maintenance for production optimisation and evaluation and to support the future introduction of cooperative driving,,,
entertainment,video or scanning systems which match a face iris or fingerprint with a database in real time,,,
entertainment,advanced CCTV systems transmitting several HD and 360� video streams in real time to a control room to monitor public places or critical infrastructure,,,
